DocumentID	DocumentTitleEn	DocumentTitleAr
D0	African immigration to the United States	none
D1	Glacier cave	none
D2	Circular motion	حركة دائرية
D3	Prison	سجن
D4	Pump	مضخة
D5	Apollo Creed	none
D6	United States federal judge	none
D7	Beretta 21A Bobcat	none
D8	Tissue (biology)	نسيج حيوي
D9	Variable universal life insurance	none
D10	Outdoor wood-fired boiler	none
D11	BMC Software	none
D12	Girl Scout Cookies	none
D13	Purdue University	جامعة بيردو
D14	Sebaceous cyst	كيس دهني
D15	Pointe shoe	none
D16	Tablespoon	none
D17	Harry Potter	هاري بوتر
D18	Rocket engine	محرك صاروخي
D19	...Baby One More Time	none
D20	Lolita (1962 film)	لوليتا (فيلم)
D21	Cholera	كوليرا
D22	The Picture of Dorian Gray	صورة دوريان غراي
D23	Zsa Zsa Gabor	زازا غابور
D24	Bruce Lee	بروس لي
D25	Chronic obstructive pulmonary disease	داء الانسداد الرئوي المزمن
D26	Anne Frank	آن فرانك
D27	Kurt Cobain	كيرت كوبين
D28	Radial engine	محرك شعاعي
D29	The Golden Girls	ذا غولدن غيرلز
D30	Deepwater drilling	none
D31	Monica Lewinsky	مونيكا لوينسكي
D32	Frank Sinatra	فرانك سيناترا
D33	antibody	none
D34	Cornhole	none
D35	American Gold Eagle	none
D36	Bikram Yoga	none
D37	Christopher Massey	none
D38	Teaspoon	ملعقة شاي
D39	Fern	سراخس
D40	Flat roof	none
D41	CD-ROM	none
D42	J. K. Rowling	ج. ك. رولينج
D43	Auburndale, Florida	أوبورندال
D44	Tropical cyclone	إعصار استوائي
D45	Kirk Douglas	كيرك دوغلاس
D46	Bob Seger	none
D47	Alicia Keys	أليشيا كيز
D48	I Love Lucy	أنا أحب لوسي
D49	Section (United States land surveying)	none
D50	Richard Nixon	ريتشارد نيكسون
D51	Charles Sumner	none
D52	Business ethics	أخلاقيات الأعمال
D53	Burn	حرق (إصابة)
D54	Juliet	جولييت
D55	Atlantic Ocean	المحيط الأطلسي
D56	Lists of tropical cyclone names	none
D57	Fire brick	none
D58	Visible spectrum	طيف مرئي
D59	Mexican peso	بيزو مكسيكي
D60	Zebra	حمار الزرد
D61	Barry White	باري وايت
D62	Angelina Jolie	أنجلينا جولي
D63	erosion	none
D64	Mickie James	ميكي جيمس
D65	Jersey Shore (TV series)	none
D66	Pitbull (entertainer)	none
D67	United States territory	none
D68	Taste	تذوق
D69	Bob marley	none
D70	Terminator 3: Rise of the Machines	المبيد 3 (فيلم)
D71	List of youngest birth mothers	none
D72	Willy Wonka & the Chocolate Factory	ويلي ونكا ومصنع الشيكولاتة (فيلم)
D73	Cord (unit)	none
D74	Game Boy	غيم بوي
D75	World Trade Center	none
D76	Transverse Ranges	none
D77	Electron shell	غلاف تكافؤ
D78	Anna Nicole Smith	آنا نيكول سميث
D79	Units of paper quantity	وحدات كمية الورق
D80	5 yen coin	none
D81	Slaughterhouse	مسلخ
D82	TLC (group)	none
D83	Tarzan (1999 film)	طرزان (فيلم 1999)
D84	Oil platform	منصة نفط
D85	Pornographic film actor	ممثل إباحي
D86	Standard deviation	انحراف معياري
D87	Animal slaughter	ذبح
D88	Brain tumor	ورم الدماغ
D89	List of Presidents of the United States	قائمة رؤساء الولايات المتحدة
D90	Suppressor	كاتم صوت (سلاح)
D91	Volleyball	كرة طائرة
D92	National debt of the United States	الدين العام الأمريكي
D93	Athenian democracy	none
D94	Bea Arthur	none
D95	Tekken: Blood Vengeance	تيكن: ثأر الدم
D96	Homeowner association	none
D97	List of guinea pig breeds	none
D98	state school	none
D99	Ribosome	ريبوسوم
D100	Light-independent reactions	تفاعل غير معتمد على الضوء
D101	Square number	مربع كامل
D102	Interlibrary loan	none
D103	Era of Good Feelings	none
D104	Mia Hamm	ميا هام
D105	MacConkey agar	آغار ماكونكي
D106	New York Red Bulls	نيويورك ريد بولز
D107	Buddhism by country	البوذية حسب البلد
D108	Wild Bill Hickok	none
D109	Mars rover	مارس روفر
D110	Financial audit	تدقيق مالي
D111	Dollar coin (United States)	none
D112	Owl	بوميات
D113	Harmon Killebrew	none
D114	G-force	قوة جي
D115	Sean Parker	none
D116	Augur	none
D117	The Waterboy	none
D118	Farmington Hills, Michigan	فارمنغتون هيلز
D119	What Do You Want From Me	none
D120	Seal (emblem)	ختم
D121	Groundhog Day	يوم غراوندهوغ
D122	Climate of the Tampa Bay area	none
D123	Rockstar (drink)	none
D124	Electromagnetic spectrum	طيف كهرومغناطيسي
D125	Franklin D. Roosevelt	فرانكلين روزفلت
D126	Olympic Games	الألعاب الأولمبية
D127	Joint committee	none
D128	Prostitution in the United States	none
D129	Flag of the United States	علم الولايات المتحدة
D130	States and territories of India	none
D131	Pipe (fluid conveyance)	أنبوب
D132	Pertussis	سعال ديكي
D133	List of United States congressional districts	none
D134	Mariah Carey	ماريا كاري
D135	Cloud	سحاب
D136	Galveston County, Texas	مقاطعة غالفيستون (تكساس)
D137	List of cities in the Bahamas	قائمة مدن البهاما
D138	Pancreatic cancer	سرطان البنكرياس
D139	Big Ten Conference	none
D140	Single malt Scotch	none
D141	Sound mass	none
D142	Biblical judges	none
D143	Student	طالب
D144	Spades	none
D145	Australia (continent)	أستراليا (قارة)
D146	Cardiovascular disease	مرض قلبي وعائي
D147	History of immigration to the United States	none
D148	Environmental issues in New York City	none
D149	Central Intelligence Agency	وكالة المخابرات المركزية
D150	Atlanta	أتلانتا (جورجيا)
D151	McCarthyism	مكارثية
D152	Smoot	none
D153	Galahad	none
D154	Napoleon (Animal Farm)	none
D155	Neptune	نبتون
D156	Dodge Coronet	none
D157	League (unit)	none
D158	ARM9	none
D159	Commonwealth	كومنولث (مصطلح)
D160	September 11 attacks	أحداث 11 سبتمبر 2001
D161	Crater Lake National Park	none
D162	Syd Barrett	سيد باريت
D163	Supreme Court of the United States	المحكمة العليا للولايات المتحدة
D164	Conroe, Texas	كونروي
D165	Microsoft SQL Server	ميكروسوفت إس كيو إل سيرفر
D166	Book of Mormon	كتاب مورمون
D167	Oklahoma City bombing	تفجير مدينة أوكلاهوما
D168	Enlisted rank	none
D169	What a Wonderful World	none
D170	Sound film	سينما ناطقة
D171	African people	none
D172	ARIA Music Awards	none
D173	For-profit education	none
D174	Twenty-second Amendment to the United States Constitution	none
D175	List of Bobobo-bo Bo-bobo episodes	none
D176	Central Park	سنترال بارك
D177	TracFone Wireless	none
D178	Dredging	تكريك
D179	Volcano	بركان
D180	Benedict arnold	none
D181	Curt Schilling	none
D182	Don't be evil	لا تكن شريرا
D183	Star Wars	حرب النجوم
D184	Plateletpheresis	فصادة الصفيحات
D185	Port (computer networking)	منفذ (شبكات حاسوبية)
D186	Deer	أيل
D187	Precalculus	none
D188	Area code 479	none
D189	Arraignment	none
D190	Geoffrey Chaucer	جيفري تشوسر
D191	Battery (electricity)	بطارية
D192	Chicago Blizzard of 1979	none
D193	12-hour clock	الوقت بصيغة ال12 ساعة
D194	LTE (telecommunication)	تطور طويل الأمد (شبكات إتصالات)
D195	Comparison of the health care systems in Canada and the United States	none
D196	Run-flat tire	none
D197	List of Xbox 360 games	none
D198	Cooperstown, New York	كوبرستاون (نيويورك)
D199	Tarantula	رتيلاء
D200	Ton	none
D201	Stanley Cup	none
D202	Bass fishing	none
D203	Pineapple	أناناس
D204	Integer (computer science)	none
D205	American Dream	الحلم الأمريكي
D206	Hydroelectricity	طاقة كهرمائية
D207	History of wine	none
D208	List of districts of West Bengal	none
D209	Caribbean	الكاريبي
D210	List of cities and towns in New Hampshire	none
D211	Slavery in Africa	تجارة العبيد الأفارقة
D212	Brett Favre	none
D213	Northern California	شمال كاليفورنيا
D214	Salesforce.com	none
D215	Seahorse	فرس البحر
D216	President of the United States	رئيس الولايات المتحدة
D217	Earth	الأرض
D218	Magical tools in Wicca	none
D219	Cellular respiration	تنفس خلوي
D220	Fire extinguisher	مطفأة حريق
D221	Righteousness	none
D222	Dmitry Medvedev	دميتري ميدفيديف
D223	Native Americans in the United States	الأمريكيون الأصليون فى الولايات المتحدة
D224	Chronic kidney disease	مرض الكلى المزمن
D225	Central america	none
D226	Scrubs (TV series)	سكرابز (مسلسل)
D227	Steam engine	محرك بخاري
D228	Move Bitch	none
D229	Multiple sclerosis	تصلب متعدد
D230	Elizabeth II	إليزابيث الثانية
D231	Christianity in Australia	المسيحية في أستراليا
D232	Materials International Space Station Experiment	none
D233	Yale university	none
D234	Artemisia tridentata	none
D235	Yahoo! Mail	بريد ياهو!
D236	Crater lake	بحيرة بركانية
D237	Tacoma, Washington	تاكوما (واشنطن)
D238	Chula Vista, California	تشولا فيستا
D239	Metes and bounds	none
D240	Isaac Newton	إسحاق نيوتن
D241	Newton's law of universal gravitation	قانون الجذب العام لنيوتن
D242	Dim sum	ديم سم
D243	Eye color	none
D244	Casualties of the Iraq War	none
D245	Highwayman	none
D246	Magic Johnson	ماجيك جونسون
D247	Cell (biology)	خلية
D248	Texas Southern University	جامعة جنوب تكساس
D249	Grecian Formula	none
D250	Headlamp	none
D251	Women's rights	حقوق المرأة
D252	Whoopi Goldberg	ووبي غولدبرغ
D253	Jupiter	المشتري
D254	1976 Republican National Convention	none
D255	National Hockey League	دوري الهوكي الوطني
D256	Little League Baseball	none
D257	Maggot	نغفة
D258	Herod the Great	هيرودس الأول
D259	ABO blood group system	none
D260	1907	1907
D261	Northville, Michigan	نورثفيل
D262	Dottie West	none
D263	Clarence Clemons	كلارنس كليمونز
D264	Elaine Stritch	إلين ستريتش
D265	Baby Ruth	none
D266	Misfits (TV series)	none
D267	List of aircraft hijackings	none
D268	Pride and prejudice	none
D269	World Wide Web	شبكة عنكبوتية عالمية
D270	Bank card number	none
D271	Wayne Morse	none
D272	Table (parliamentary procedure)	none
D273	Toy Story 3	حكاية لعبة 3
D274	John Starks (basketball)	جون ستاركس (كرة سلة)
D275	Secure Digital	سكيور ديجيتال
D276	Hugh Grant	هيو غرانت
D277	Han Dynasty	none
D278	Cheque	صك
D279	Tourette syndrome	متلازمة توريت
D280	Sunbeam (car company)	none
D281	Fox News Channel	none
D282	Mandibular first molar	none
D283	Teleconverter	none
D284	Serena Williams	سيرينا ويليامز
D285	Florida Legislature	none
D286	Daniel 2	none
D287	Comcast	none
D288	Porcupine	نيص
D289	Elijah McCoy	none
D290	Hydrogen vehicle	سيارة هيدروجينية
D291	American wire gauge	معيار السلك الأمريكي
D292	Sacramento, California	ساكرامنتو (كاليفورنيا)
D293	Cell Membrane	none
D294	Apple Store	أبل ستور
D295	Steve jobs	none
D296	Giant's Causeway	ممر العمالقة وساحله
D297	Roman numerals	أرقام رومانية
D298	Effective nuclear charge	شحنة نووية فعالة
D299	Jerky	لحم مقدد
D300	List of Storm Chasers episodes	none
D301	Interstate Highway System	none
D302	.eu	.eu
D303	Meister	none
D304	Late Heavy Bombardment	قصف شديد متأخر
D305	Mighty Morphin Power Rangers	none
D306	Edgar allan poe	none
D307	Carnivore	آكلات اللحوم
D308	Tycho Brahe	تيخو براهي
D309	FIFA World Cup	كأس العالم لكرة القدم
D310	Heroes (TV series)	هيروز
D311	Marquis Who's Who	ماركيز هوز هو
D312	J. P. Morgan	جون بيربونت مورجان
D313	List of Mnemosyne episodes	none
D314	Digital forensics	العلوم الجنائية الرقمية
D315	Color space	فضاء لوني
D316	Labor day	none
D317	Dylan and Cole Sprouse	ديلان وكول سبراوس
D318	Rainbow	قوس قزح
D319	Life insurance	تأمين على الحياة
D320	Chinese New Year	رأس السنة الصينية
D321	The Blair Witch Project	مشروع الساحرة بلير (فيلم)
D322	Romeo and juliet	none
D323	S.H.I.E.L.D.	شيلد (منظمة)
D324	Mitzi Kapture	none
D325	Xbox 360	إكس بوكس 360
D326	Backpack	حقيبة ظهر
D327	Mexico	المكسيك
D328	Heron	بلشونيات
D329	Slugging percentage	none
D330	Saint Patrick's Day	يوم القديس باتريك
D331	Chrono Trigger	كرونو تريغر
D332	United States House of Representatives	مجلس النواب الأمريكي
D333	Goat cheese	جبن الماعز
D334	Federal Reserve System	نظام الاحتياطي الفدرالي
D335	Hyperthermia	فرط الحرارة
D336	Battle of the Sexes (tennis)	none
D337	Belize	بليز
D338	Foundation (cosmetics)	كريم أساس
D339	Books of the Bible	أسفار الكتاب المقدس
D340	Betsy Ross flag	none
D341	Purr	خرخرة
D342	Platypus	خلد الماء
D343	Neutrophilia	كثرة العدلات
D344	Rich Fields	none
D345	St. Elizabeth, Missouri	سانت إليزابث (ميزوري)
D346	Abraham Lincoln	أبراهام لينكون
D347	Wilton, California	none
D348	Cut, copy, and paste	none
D349	Economic order quantity	حجم الطلبية الاقتصادي
D350	Mark Cuban	مارك كوبان
D351	Stevie Ray Vaughan	ستيفي راي فوغن
D352	Coca-Cola	كوكا كولا
D353	Barry Larkin	none
D354	Heat pump	مضخة حرارية
D355	Lockheed Martin F-22 Raptor	لوكهيد مارتن إف-22 رابتور
D356	Brasília	none
D357	Causes of World War I	أسباب الحرب العالمية الأولى
D358	National flag	علم وطني
D359	American Civil War	الحرب الأهلية الأمريكية
D360	Women's roles in the World Wars	none
D361	The Wire	none
D362	Norrie disease	مرض نوري
D363	Contract	عقد (قانون)
D364	ASP.NET	إيه إس بي دوت نت
D365	Lysergic acid diethylamide	ثنائي إيثيل أميد حمض الليسرجيك
D366	List of political parties in the United States	none
D367	United States Navy SEALs	نافي سيلز
D368	World population	تعداد السكان في العالم
D369	Memphis, Tennessee	ممفيس (تينيسي)
D370	Nuclear power by country	none
D371	List of muscles of the human body	none
D372	Seminole Wars	حروب السيمينول
D373	Orono, Maine	أورونو (مين)
D374	Luxor Las Vegas	الأقصر لاس فيجاس
D375	Pilot experiment	none
D376	Los Angeles City Fire Department	none
D377	Acre	أكر
D378	Pawnee	باوني (توضيح)
D379	Language processing	none
D380	Bugatti Veyron	بوجاتي فايرون
D381	Camel	جمل
D382	Wind power	طاقة رياح
D383	Ocean	محيط (جغرافيا)
D384	Donald trump	none
D385	DVD	دي في دي
D386	Jacksonville, Florida	جاكسونفيل (فلوريدا)
D387	What Chilli Wants	none
D388	Bruno Mars	برونو مارس
D389	Liquid oxygen	أكسجين سائل
D390	Sex reassignment surgery	none
D391	Toledo Zoo	none
D392	Mount everest	none
D393	Greek Mythology	none
D394	Mouth & MacNeal	none
D395	Handley, West Virginia	هاندلي (فيرجينيا الغربية)
D396	Boise State Broncos football	none
D397	Swiss Franc	none
D398	Charlie Chaplin	تشارلي تشابلن
D399	Planned parenthood	none
D400	Mens rea	العقل المذنب
D401	Ulysses S. Grant	يوليسيس جرانت
D402	Jukebox	none
D403	Drug test	none
D404	Space exploration	سبر الفضاء
D405	Calvin Coolidge	كالفين كوليدج
D406	Espresso	قهوة إسبريسو
D407	Gallipoli Campaign	حملة جاليبولي
D408	Vietnam	فيتنام
D409	Brian Kelly (American football coach)	none
D410	Semen	مني
D411	List of political parties in India	الأحزاب السياسية في الهند
D412	Sidney Crosby	سيدني كروسبي
D413	My two cents	none
D414	Chinese Civil War	الحرب الأهلية الصينية
D415	112th United States Congress	none
D416	Wealth in the United States	none
D417	Film budgeting	none
D418	Diagnosis-related group	none
D419	Rhizotomy	none
D420	Migrant worker	none
D421	Teardrop tattoo	none
D422	Pacific Ocean	المحيط الهادئ
D423	U.S. Route 75	none
D424	Plus-minus sign	none
D425	Canine reproduction	none
D426	Lower Ninth Ward	none
D427	Incarceration in the United States	none
D428	Moon	القمر
D429	The Vampire Diaries	يوميات مصاص دماء
D430	Ronald Reagan	رونالد ريغان
D431	Immigration	هجرة (فعل)
D432	Tanakh	تناخ
D433	Kawasaki Ninja ZX-6R	none
D434	Judgment as a matter of law	none
D435	Christianity	مسيحية
D436	List of United States presidential assassination attempts and plots	none
D437	Where the Red Fern Grows	none
D438	Oklahoma	أوكلاهوما
D439	Redwall	none
D440	Therm	none
D441	Bruce Jenner	none
D442	Alkali	قلوي
D443	Escherichia coli	إشريكية قولونية
D444	Area code 217	none
D445	Jameson Irish Whiskey	none
D446	California locations by per capita income	none
D447	Ozone depletion	نضوب الأوزون
D448	Michelin Guide	دليل ميشلان
D449	Preamble to the United States Constitution	none
D450	Formula One car	none
D451	Shot put	دفع الثقل
D452	Member states of the United Nations	قائمة الدول الأعضاء في الأمم المتحدة
D453	Eiffel Tower	برج إيفل
D454	Sperm donation	none
D455	Gloria in Excelsis Deo	none
D456	Troy weight	none
D457	Ken Jennings	none
D458	Canadian Football League	none
D459	Antibody	جسم مضاد
D460	Zodiac killer	none
D461	Jennings, Louisiana	جينينغز (لويزيانا)
D462	Nanotechnology	تقنية النانو
D463	Eastern Bloc	الكتلة الشرقية
D464	Dry drowning	none
D465	New Jersey gubernatorial election, 2009	none
D466	Health care in the United States	none
D467	Body water	مياه الجسم
D468	Self-esteem	تقدير الذات
D469	Masonic Lodge	none
D470	Pilkington	none
D471	Quotation	اقتباس
D472	1877	1877
D473	Black pepper	فلفل أسود
D474	Fire hydrant	صنبور مياه حريق
D475	President of South Africa	رئيس جنوب أفريقيا
D476	Special education	تربية خاصة
D477	George Soros	جورج سوروس
D478	Invention of the telephone	none
D479	Descriptive psychology	علم النفس الوصفي
D480	Master of Fine Arts	none
D481	Atomic bombings of Hiroshima and Nagasaki	الهجوم النووي على هيروشيما وناجازاكي
D482	Aurora, Colorado	أورورا (كولورادو)
D483	Holly Ridge, North Carolina	هولي ريدج (كارولاينا الشمالية)
D484	Season	فصول السنة
D485	Mahatma Gandhi	مهاتما غاندي
D486	Joan Crawford	جوان كراوفورد
D487	Tonneau	none
D488	Twitter	تويتر
D489	The Hangover	صداع الكحول (فيلم)
D490	Meiosis	انقسام منصف
D491	Electricity	كهرباء
D492	Boxing	ملاكمة
D493	Color blindness	عمى الألوان
D494	Agreement (linguistics)	none
D495	List of places on land with elevations below sea level	قائمة أماكن حسب انخفاضها تحت مستوى البحر
D496	Debbie Macomber	none
D497	Catonsville, Maryland	none
D498	Lawyer	محامي
D499	National Wax Museum (Ireland)	none
D500	Vector Marketing	none
D501	St. Clair's Defeat	none
D502	John Steinbeck	جون ستاينبيك
D503	Clint Walker	none
D504	History of slavery	تاريخ العبودية
D505	Family and Medical Leave Act of 1993	none
D506	Vietnam War	حرب فيتنام
D507	Pothole	حفرة (طرق)
D508	Renal cell carcinoma	سرطانة الخلية الكلوية
D509	Estée Lauder Companies	none
D510	Peritoneum	غشاء مصلي بطني
D511	George Selden (author)	none
D512	Tiger Woods	تايغر وودز
D513	Solid-state drive	وسيط تخزين ذو حالة ثابتة
D514	Caviar	كافيار
D515	Alfalfa	برسيم حجازي
D516	SEC Network	none
D517	Boardwalk Empire (episode)	none
D518	Indians in Fiji	none
D519	1990s	عقد 1990
D520	Gray Wolf	none
D521	Roman Empire	الإمبراطورية الرومانية
D522	Shell Oil Company	شركة شل للنفط
D523	Education in the United States	التعليم في الولايات المتحدة
D524	Paul Bragg	none
D525	Sonic boom	دوي اختراق حاجز الصوت
D526	Stormwater	تصريف مياه الأمطار
D527	The Tonight Show with Jay Leno	none
D528	Radio-frequency identification	تحديد الهوية بموجات الراديو
D529	Id, ego and super-ego	الهو والأنا والأنا العليا
D530	Air Force Reserve Officer Training Corps	none
D531	The Book of Eli	كتاب إيلاي
D532	Paper density	none
D533	Test Drive Unlimited	تيست درايف آنليميتد
D534	Kristen Stewart	كريستين ستيوارت
D535	Candace Parker	كانداس باركر
D536	Food guide pyramid	none
D537	Hans Christian Andersen	هانس كريستيان أندرسن
D538	Adam Walsh Child Protection and Safety Act	none
D539	Eye contact	التقاء العيون
D540	Bed bug	بق الفراش
D541	Book of Isaiah	سفر إشعيا
D542	Oregon State University	جامعة ولاية أوريغون
D543	Female ejaculation	قذف الإناث
D544	Sixth Army	none
D545	Pinna (anatomy)	none
